Name,Assessment Link,Remote testing,Adaptive/IRT,Test Type,Duration (min)
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,True,True,"['C', 'P', 'A', 'B']",49
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,True,True,"['A', 'K', 'P']",36
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,True,True,"['A', 'B', 'P', 'S']",51
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,True,False,"['B', 'P']",30
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,True,False,"['B', 'P']",20
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,True,False,"['A', 'B', 'K', 'P']",35
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,True,False,"['A', 'B', 'P']",45
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,True,True,"['A', 'B', 'P', 'S']",45
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,True,True,"['B', 'P', 'S', 'A']",43
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,True,True,"['P', 'S', 'K', 'B', 'A']",49
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,True,False,"['A', 'B', 'P']",50
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,True,True,"['B', 'A', 'P']",28
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,True,False,"['A', 'B', 'P']",50
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,True,True,"['B', 'A', 'P']",28
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,True,True,"['P', 'S', 'A', 'B']",48
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,True,False,"['A', 'B', 'C', 'P', 'S']",41
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,True,False,"['S', 'B', 'C', 'P']",31
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,True,True,"['A', 'B', 'P', 'S']",50
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,True,False,"['P', 'B', 'C', 'A', 'S']",41
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,True,False,"['S', 'B', 'C', 'P']",31
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,True,True,"['A', 'B', 'P', 'S']",45
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,True,False,"['A', 'B', 'P', 'S']",39
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,True,True,"['A', 'B', 'P']",42
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,True,True,"['A', 'B', 'P']",42
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,True,True,"['A', 'B', 'P']",42
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,True,True,"['A', 'B', 'P']",42
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,True,True,"['A', 'B', 'P']",44
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,True,True,"['A', 'B', 'P']",69
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,True,True,"['A', 'B', 'P']",65
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,True,False,"['B', 'P', 'A']",18
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,True,False,"['A', 'B', 'P']",18
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,True,False,"['C', 'P']",19
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,True,False,"['C', 'P']",19
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,True,False,"['C', 'P']",19
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,True,False,"['B', 'C', 'P']",20
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,True,False,"['P', 'B', 'C']",20
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,True,False,"['B', 'C', 'P']",20
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,True,False,"['P', 'B', 'C']",20
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,True,False,"['C', 'P', 'B']",20
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,True,True,"['S', 'A', 'B', 'P']",50
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,True,True,"['A', 'B', 'P']",74
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,True,False,"['A', 'B', 'P']",35
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,True,False,"['A', 'B', 'P']",44
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,True,True,"['A', 'B', 'P']",50
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,True,True,"['A', 'B', 'P', 'S']",50
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,True,True,"['S', 'A', 'B', 'K', 'P']",55
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,True,False,['B'],19
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,True,False,['B'],19
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,True,False,['B'],19
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,True,False,['B'],19
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,True,False,['B'],19
General Entry Level â€“ Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,True,False,"['B', 'K']",24
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,True,False,"['A', 'B', 'P']",30
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,True,False,"['B', 'C']",19
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,True,False,"['P', 'B']",20
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,True,False,['B'],18
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,True,True,"['A', 'B', 'P', 'S']",48
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,True,False,['B'],22
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,True,True,"['A', 'B', 'P', 'S']",44
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,True,True,"['A', 'B', 'P']",37
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,True,True,"['A', 'B', 'P', 'S']",44
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,True,True,"['A', 'B', 'P']",37
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,True,True,"['A', 'B', 'P']",30
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,True,True,"['A', 'B', 'P']",41
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,True,True,"['A', 'B', 'K', 'P']",57
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,True,True,"['B', 'P']",30
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,True,False,['B'],20
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,True,False,['B'],20
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,True,False,['B'],20
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,True,True,"['A', 'B']",49
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,True,False,['B'],24
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,True,False,['B'],24
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,True,False,['B'],24
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,True,False,['B'],24
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,True,False,"['A', 'B']",49
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,True,False,"['A', 'B']",49
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,True,True,"['A', 'B', 'P', 'S']",49
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,True,True,"['A', 'B', 'P', 'S']",48
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,True,True,"['A', 'B', 'P', 'S']",24
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,True,True,"['A', 'B', 'P']",46
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,True,True,"['A', 'B', 'P']",49
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,True,True,"['A', 'B', 'P', 'S']",51
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,True,True,"['A', 'B', 'K', 'P', 'S']",57
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,True,True,"['A', 'B', 'C']",53
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,True,True,"['B', 'C', 'P']",56
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,True,False,"['B', 'C']",33
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,True,False,"['C', 'B']",33
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,True,False,"['B', 'K', 'P']",16
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,True,True,"['A', 'B', 'P', 'S']",44
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,True,True,"['A', 'B', 'P', 'S']",49
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,True,False,['S'],30
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,True,True,"['A', 'P', 'S', 'B']",43
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,True,True,"['A', 'B', 'P', 'S']",48
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,True,True,"['A', 'B', 'P']",53
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,True,True,"['A', 'B', 'P']",45
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,True,True,"['A', 'B', 'P']",43
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,True,True,"['A', 'B', 'P']",45
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,True,True,"['A', 'B', 'P']",43
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,True,True,"['A', 'B', 'P']",29
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,True,True,"['A', 'B', 'P']",59
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,True,True,"['A', 'B', 'K', 'P', 'S']",61
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,True,True,"['A', 'B', 'P']",63
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,True,False,"['C', 'B']",21
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,True,False,"['B', 'C']",21
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,True,True,"['A', 'B', 'P']",47
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,True,True,"['A', 'B', 'P']",29
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,True,True,"['A', 'B', 'P']",38
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,True,True,"['A', 'B', 'P']",43
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,True,True,"['A', 'B', 'P']",38
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,True,True,"['A', 'B', 'P']",43
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,True,False,"['A', 'B', 'P']",44
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,True,True,"['A', 'B', 'P']",42
Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,True,True,"['B', 'A', 'P']",40
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,True,True,"['A', 'B', 'P']",38
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,True,True,"['A', 'B', 'P']",48
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,True,False,"['A', 'B', 'P']",25
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,True,False,"['B', 'C']",34
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,True,False,"['B', 'C']",34
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,True,False,"['C', 'B']",34
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,True,True,"['A', 'B', 'P']",49
